Codi Tasca;Nom Tasca;Resultats Aprenentatge (RA) Mòduls DAW;Descripció Vinculació
1.1;Investigació del mercat tecnològic;ED.RA1, ED.RA2, FOL.RA4;Reconeix elements desenvolupament programari, avalua entorns i competències emprenedoria
1.2;Identificació de necessitats reals;PI.RA1, FOL.RA3;Identifica necessitats sector productiu, relaciona amb projectes i gestió empresarial
1.3;Formulació d'objectius SMART;PI.RA1, PI.RA2, FOL.RA1;Disseny projecte amb objectius, planificació i emprenedoria
1.4;Definició de l'abast del projecte;PI.RA2, ED.RA6;Planifica projecte DAW, genera diagrames UML de casos d'ús i comportament
1.5;Anàlisi de viabilitat tècnica;SI.RA1, SI.RA5, DAW.RA1;Avalua sistemes informàtics, interconnecta xarxes i implanta arquitectures web
1.6;Anàlisi de viabilitat econòmica;FOL.RA2, FOL.RA4;Aplica procediments empresarials, costos i viabilitat financera
1.7;Benchmarking competitiu;PI.RA1, DIW.RA1;Identifica necessitats sector, analitza interfícies web competidores
1.8;Selecció de tecnologies;ED.RA1, DWEC.RA1, DWES.RA1, DAW.RA1;Reconeix eines desenvolupament, arquitectures client-servidor i servidors
1.9;Justificació tecnològica;ED.RA1, ED.RA2, PI.RA2;Avalua entorns desenvolupament, justifica stack tecnològic del projecte
2.1;Diagrama de casos d'ús;ED.RA6, PI.RA2;Genera diagrames comportament UML i planifica projecte DAW
2.2;Diagrames de seqüència;ED.RA6, PI.RA2;Diagrames interacció UML, planifica projecte amb especificacions
2.3;Diagrama de classes;ED.RA5, PROG.RA4;Genera diagrames classes, aplica programació orientada objectes
2.4;Diagrama de components/desplegament;ED.RA5, DAW.RA1, DAW.RA4;Arquitectura components, desplegament aplicacions web
2.5;Selecció d'arquitectura;DWES.RA1, DAW.RA1, PI.RA2;Selecciona arquitectures servidor, implanta aplicacions i planifica
2.6;Disseny de la capa de presentació;DWEC.RA1, DWEC.RA6, DIW.RA2;Arquitectures client, model objectes document (DOM) i interfícies web
2.7;Disseny de la capa de negoci;DWES.RA5, PROG.RA4, PROG.RA5;Separa lògica negoci, aplica POO i llibreries classes
2.8;Disseny de la capa de dades;DWES.RA6, BD.RA3, BD.RA4;Accés magatzems dades, consultes i manipulació BD
